project_id,month,treat,post,matched_pair_id,age_years_pre,activity_pre,star_growth_pre,propensity_score,contributors,release_freq,new_sponsors,revenue_growth_rate,monthly_revenue_usd
P0003,2024-11,1,0,9,3,9.25,0.204,0.5659,25,1.59,5,0.1522,2395.54
P0003,2024-12,1,0,9,3,9.25,0.204,0.5659,29,1.47,4,0.1907,2475.58
P0003,2025-01,1,0,9,3,9.25,0.204,0.5659,26,1.1,7,0.1525,2396.16
P0003,2025-02,1,0,9,3,9.25,0.204,0.5659,26,1.57,4,0.1681,2428.6
P0003,2025-03,1,0,9,3,9.25,0.204,0.5659,29,1.58,7,0.2295,2556.25
P0003,2025-04,1,1,9,3,9.25,0.204,0.5659,27,1.29,7,0.2169,2530.06
P0003,2025-05,1,1,9,3,9.25,0.204,0.5659,29,1.35,10,0.2288,2554.8
P0003,2025-06,1,1,9,3,9.25,0.204,0.5659,26,1.2,10,0.202,2499.08
P0003,2025-07,1,1,9,3,9.25,0.204,0.5659,29,1.62,10,0.2337,2564.99
P0003,2025-08,1,1,9,3,9.25,0.204,0.5659,30,1.45,9,0.2562,2611.77
P0003,2025-09,1,1,9,3,9.25,0.204,0.5659,26,1.46,11,0.2553,2609.89
P0003,2025-10,1,1,9,3,9.25,0.204,0.5659,29,1.64,11,0.24,2578.08
P0003,2025-11,1,1,9,3,9.25,0.204,0.5659,27,1.4,11,0.2523,2603.66
P0003,2025-12,1,1,9,3,9.25,0.204,0.5659,26,1.3,9,0.2299,2557.09
P0006,2024-01,0,0,47,12,35.83,0.055,0.8843,33,2.36,8,0.1839,3673.52
P0006,2024-02,0,0,47,12,35.83,0.055,0.8843,33,2.18,6,0.2275,3808.81
P0006,2024-03,0,0,47,12,35.83,0.055,0.8843,33,2.13,7,0.1621,3605.88
P0006,2024-04,0,0,47,12,35.83,0.055,0.8843,36,2.48,7,0.2251,3801.36
P0006,2024-05,0,0,47,12,35.83,0.055,0.8843,32,2.2,5,0.205,3738.99
P0006,2024-06,0,0,47,12,35.83,0.055,0.8843,29,2.57,7,0.1569,3589.75
P0006,2024-07,0,0,47,12,35.83,0.055,0.8843,33,2.27,6,0.1832,3671.35
P0006,2024-08,0,0,47,12,35.83,0.055,0.8843,34,2.3,5,0.1935,3703.31
P0006,2024-09,0,0,47,12,35.83,0.055,0.8843,31,2.48,5,0.2044,3737.13
P0006,2024-10,0,0,47,12,35.83,0.055,0.8843,35,2.69,6,0.2343,3829.91
P0006,2024-11,0,0,47,12,35.83,0.055,0.8843,37,2.33,7,0.2387,3843.56
P0006,2024-12,0,0,47,12,35.83,0.055,0.8843,39,2.34,6,0.2443,3860.94
P0006,2025-01,0,0,47,12,35.83,0.055,0.8843,35,2.3,5,0.2311,3819.98
P0006,2025-02,0,0,47,12,35.83,0.055,0.8843,37,2.51,8,0.2336,3827.74
P0006,2025-03,0,0,47,12,35.83,0.055,0.8843,38,2.48,7,0.2288,3812.84
P0006,2025-04,0,0,47,12,35.83,0.055,0.8843,36,2.29,5,0.2519,3884.52
P0006,2025-05,0,0,47,12,35.83,0.055,0.8843,39,2.15,6,0.2213,3789.57
P0006,2025-06,0,0,47,12,35.83,0.055,0.8843,36,2.11,5,0.2225,3793.3
P0006,2025-07,0,0,47,12,35.83,0.055,0.8843,37,2.47,7,0.2524,3886.07
P0006,2025-08,0,0,47,12,35.83,0.055,0.8843,38,2.28,6,0.2032,3733.41
P0006,2025-09,0,0,47,12,35.83,0.055,0.8843,41,2.39,8,0.2825,3979.47
P0006,2025-10,0,0,47,12,35.83,0.055,0.8843,39,2.31,7,0.2336,3827.74
P0006,2025-11,0,0,47,12,35.83,0.055,0.8843,37,2.18,4,0.2376,3840.15
P0006,2025-12,0,0,47,12,35.83,0.055,0.8843,38,2.36,7,0.222,3791.74
P0009,2024-01,0,0,12,8,7.35,0.054,0.5865,4,2.14,2,0.0727,3164.15
P0009,2024-02,0,0,12,8,7.35,0.054,0.5865,2,1.9,4,0.0606,3128.46
P0009,2024-03,0,0,12,8,7.35,0.054,0.5865,4,1.87,0,0.03,3038.2
P0009,2024-04,0,0,12,8,7.35,0.054,0.5865,1,1.8,4,0.0593,3124.63
P0009,2024-05,0,0,12,8,7.35,0.054,0.5865,5,1.81,3,0.0864,3204.56
P0009,2024-06,0,0,12,8,7.35,0.054,0.5865,2,1.87,3,0.0942,3227.57
P0009,2024-07,0,0,12,8,7.35,0.054,0.5865,6,2.09,5,0.0618,3132.0
P0009,2024-08,0,0,12,8,7.35,0.054,0.5865,4,1.61,4,0.094,3226.98
P0009,2024-09,0,0,12,8,7.35,0.054,0.5865,6,1.76,2,0.067,3147.34
P0009,2024-10,0,0,12,8,7.35,0.054,0.5865,2,1.73,2,0.0205,3010.18
P0009,2024-11,0,0,12,8,7.35,0.054,0.5865,7,1.49,3,0.0184,3003.98
P0009,2024-12,0,0,12,8,7.35,0.054,0.5865,6,1.83,3,0.0135,2989.53
P0009,2025-01,0,0,12,8,7.35,0.054,0.5865,6,1.46,3,0.0573,3118.73
P0009,2025-02,0,0,12,8,7.35,0.054,0.5865,7,2.06,3,0.0877,3208.4
P0009,2025-03,0,0,12,8,7.35,0.054,0.5865,5,1.77,0,0.0676,3149.11
P0009,2025-04,0,0,12,8,7.35,0.054,0.5865,6,1.66,1,0.069,3153.24
P0009,2025-05,0,0,12,8,7.35,0.054,0.5865,9,1.53,3,0.0691,3153.53
P0009,2025-06,0,0,12,8,7.35,0.054,0.5865,9,1.85,2,0.0924,3222.26
P0009,2025-07,0,0,12,8,7.35,0.054,0.5865,7,1.69,2,0.0341,3050.3
P0009,2025-08,0,0,12,8,7.35,0.054,0.5865,9,1.88,4,0.0797,3184.8
P0009,2025-09,0,0,12,8,7.35,0.054,0.5865,11,1.44,4,0.132,3339.07
P0009,2025-10,0,0,12,8,7.35,0.054,0.5865,8,1.92,2,0.0816,3190.41
P0009,2025-11,0,0,12,8,7.35,0.054,0.5865,8,2.13,6,0.0694,3154.42
P0009,2025-12,0,0,12,8,7.35,0.054,0.5865,10,2.04,3,0.104,3256.48
P0015,2024-01,1,0,51,4,17.21,0.206,0.6743,17,0.81,1,0.1028,684.96
P0015,2024-02,1,0,51,4,17.21,0.206,0.6743,18,0.54,4,0.0919,678.19
P0015,2024-03,1,0,51,4,17.21,0.206,0.6743,20,0.69,4,0.1544,717.01
P0015,2024-04,1,0,51,4,17.21,0.206,0.6743,23,0.63,3,0.1076,687.94
P0015,2024-05,1,0,51,4,17.21,0.206,0.6743,20,0.63,5,0.1735,728.87
P0015,2024-06,1,0,51,4,17.21,0.206,0.6743,21,0.74,6,0.0945,679.8
P0015,2024-07,1,0,51,4,17.21,0.206,0.6743,20,0.5,3,0.1297,701.67
P0015,2024-08,1,0,51,4,17.21,0.206,0.6743,18,0.57,3,0.1239,698.07
P0015,2024-09,1,0,51,4,17.21,0.206,0.6743,22,0.6,5,0.082,672.04
P0015,2024-10,1,0,51,4,17.21,0.206,0.6743,21,0.45,1,0.1526,715.89
P0015,2024-11,1,0,51,4,17.21,0.206,0.6743,24,0.52,4,0.0543,654.84
P0015,2024-12,1,0,51,4,17.21,0.206,0.6743,20,0.63,2,0.1101,689.49
P0015,2025-01,1,0,51,4,17.21,0.206,0.6743,22,0.63,1,0.0284,638.75
P0015,2025-02,1,0,51,4,17.21,0.206,0.6743,20,0.92,5,0.1152,692.66
P0015,2025-03,1,0,51,4,17.21,0.206,0.6743,25,0.89,3,0.1537,716.57
P0015,2025-04,1,0,51,4,17.21,0.206,0.6743,26,0.7,4,0.134,704.34
P0015,2025-05,1,1,51,4,17.21,0.206,0.6743,27,0.79,7,0.1772,731.17
P0015,2025-06,1,1,51,4,17.21,0.206,0.6743,23,0.64,8,0.2199,757.69
P0015,2025-07,1,1,51,4,17.21,0.206,0.6743,21,0.69,6,0.1723,728.13
P0015,2025-08,1,1,51,4,17.21,0.206,0.6743,28,0.47,9,0.1728,728.44
P0015,2025-09,1,1,51,4,17.21,0.206,0.6743,25,0.96,8,0.2208,758.25
P0015,2025-10,1,1,51,4,17.21,0.206,0.6743,23,0.65,6,0.2061,749.12
P0015,2025-11,1,1,51,4,17.21,0.206,0.6743,27,0.5,6,0.261,783.22
P0015,2025-12,1,1,51,4,17.21,0.206,0.6743,23,0.78,9,0.1827,734.59
P0016,2024-01,1,0,3,2,6.41,0.145,0.4769,18,1.15,3,0.1169,1062.26
P0016,2024-02,1,0,3,2,6.41,0.145,0.4769,19,0.89,5,0.1268,1071.68
P0016,2024-03,1,0,3,2,6.41,0.145,0.4769,21,0.97,4,0.1521,1095.74
P0016,2024-04,1,0,3,2,6.41,0.145,0.4769,18,1.15,5,0.1277,1072.53
P0016,2024-05,1,0,3,2,6.41,0.145,0.4769,21,1.34,4,0.0924,1038.96
P0016,2024-06,1,0,3,2,6.41,0.145,0.4769,18,0.92,1,0.1482,1092.03
P0016,2024-07,1,0,3,2,6.41,0.145,0.4769,21,0.79,4,0.1488,1092.6
P0016,2024-08,1,0,3,2,6.41,0.145,0.4769,20,0.62,3,0.116,1061.41
P0016,2024-09,1,0,3,2,6.41,0.145,0.4769,23,1.03,5,0.2081,1149.0
P0016,2024-10,1,0,3,2,6.41,0.145,0.4769,19,1.26,3,0.1279,1072.72
P0016,2024-11,1,0,3,2,6.41,0.145,0.4769,22,0.86,1,0.1458,1089.75
P0016,2024-12,1,0,3,2,6.41,0.145,0.4769,23,1.28,3,0.1529,1096.5
P0016,2025-01,1,1,3,2,6.41,0.145,0.4769,23,1.15,7,0.1761,1118.57
P0016,2025-02,1,1,3,2,6.41,0.145,0.4769,21,0.76,5,0.1803,1122.56
P0016,2025-03,1,1,3,2,6.41,0.145,0.4769,19,0.93,5,0.1571,1100.49
P0016,2025-04,1,1,3,2,6.41,0.145,0.4769,21,1.27,6,0.1546,1098.12
P0016,2025-05,1,1,3,2,6.41,0.145,0.4769,22,0.89,8,0.109,1054.75
P0016,2025-06,1,1,3,2,6.41,0.145,0.4769,21,0.66,10,0.2275,1167.45
P0016,2025-07,1,1,3,2,6.41,0.145,0.4769,22,1.14,9,0.2086,1149.48
P0016,2025-08,1,1,3,2,6.41,0.145,0.4769,21,0.9,11,0.2079,1148.81
P0016,2025-09,1,1,3,2,6.41,0.145,0.4769,23,0.88,8,0.2283,1168.21
P0016,2025-10,1,1,3,2,6.41,0.145,0.4769,22,1.44,9,0.1914,1133.12
P0016,2025-11,1,1,3,2,6.41,0.145,0.4769,26,1.29,7,0.2004,1141.68
P0016,2025-12,1,1,3,2,6.41,0.145,0.4769,23,0.94,8,0.1566,1100.02
P0017,2024-01,1,0,37,11,3.73,0.117,0.6514,2,0.98,2,0.0022,85.1
P0017,2024-02,1,0,37,11,3.73,0.117,0.6514,4,1.07,2,0.0371,88.06
P0017,2024-03,1,0,37,11,3.73,0.117,0.6514,3,1.5,0,0.0561,89.67
P0017,2024-04,1,0,37,11,3.73,0.117,0.6514,4,1.22,2,0.0108,85.83
P0017,2024-05,1,0,37,11,3.73,0.117,0.6514,2,1.43,3,0.0133,86.04
P0017,2024-06,1,0,37,11,3.73,0.117,0.6514,4,1.17,0,0.0417,88.45
P0017,2024-07,1,0,37,11,3.73,0.117,0.6514,2,1.07,1,0.0474,88.93
P0017,2024-08,1,0,37,11,3.73,0.117,0.6514,4,0.97,3,0.0767,91.42
P0017,2024-09,1,0,37,11,3.73,0.117,0.6514,5,1.21,1,0.0134,86.05
P0017,2024-10,1,1,37,11,3.73,0.117,0.6514,4,1.31,7,0.0857,92.19
P0017,2024-11,1,1,37,11,3.73,0.117,0.6514,7,1.45,8,0.0827,91.93
P0017,2024-12,1,1,37,11,3.73,0.117,0.6514,7,1.39,9,0.1429,97.04
P0017,2025-01,1,1,37,11,3.73,0.117,0.6514,4,0.88,9,0.1117,94.39
P0017,2025-02,1,1,37,11,3.73,0.117,0.6514,5,1.12,6,0.1144,94.62
P0017,2025-03,1,1,37,11,3.73,0.117,0.6514,7,1.19,6,0.1128,94.49
P0017,2025-04,1,1,37,11,3.73,0.117,0.6514,6,1.18,6,0.1009,93.48
P0017,2025-05,1,1,37,11,3.73,0.117,0.6514,3,1.02,3,0.1068,93.98
P0017,2025-06,1,1,37,11,3.73,0.117,0.6514,5,1.2,9,0.0716,90.99
P0017,2025-07,1,1,37,11,3.73,0.117,0.6514,6,1.14,9,0.1328,96.19
P0017,2025-08,1,1,37,11,3.73,0.117,0.6514,7,1.29,8,0.0695,90.81
P0017,2025-09,1,1,37,11,3.73,0.117,0.6514,5,0.93,8,0.0938,92.87
P0017,2025-10,1,1,37,11,3.73,0.117,0.6514,7,1.09,6,0.1274,95.73
P0017,2025-11,1,1,37,11,3.73,0.117,0.6514,7,1.48,7,0.1178,94.91
P0017,2025-12,1,1,37,11,3.73,0.117,0.6514,7,1.33,8,0.0526,89.38
P0018,2024-01,1,0,50,12,7.43,0.042,0.6741,27,2.29,6,0.1178,1789.01
P0018,2024-02,1,0,50,12,7.43,0.042,0.6741,31,2.73,6,0.1643,1863.43
P0018,2024-03,1,0,50,12,7.43,0.042,0.6741,31,2.17,6,0.1727,1876.87
P0018,2024-04,1,0,50,12,7.43,0.042,0.6741,31,2.36,5,0.2064,1930.81
P0018,2024-05,1,0,50,12,7.43,0.042,0.6741,28,2.04,6,0.1374,1820.37
P0018,2024-06,1,0,50,12,7.43,0.042,0.6741,26,2.39,5,0.2266,1963.14
P0018,2024-07,1,0,50,12,7.43,0.042,0.6741,30,2.31,7,0.1973,1916.24
P0018,2024-08,1,0,50,12,7.43,0.042,0.6741,33,2.51,9,0.1823,1892.24
P0018,2024-09,1,0,50,12,7.43,0.042,0.6741,31,2.24,5,0.1859,1898.0
P0018,2024-10,1,0,50,12,7.43,0.042,0.6741,29,2.29,6,0.1644,1863.59
P0018,2024-11,1,0,50,12,7.43,0.042,0.6741,35,2.49,5,0.2795,2047.8
P0018,2024-12,1,0,50,12,7.43,0.042,0.6741,29,2.43,4,0.2539,2006.83
P0018,2025-01,1,0,50,12,7.43,0.042,0.6741,31,2.31,5,0.1972,1916.08
P0018,2025-02,1,0,50,12,7.43,0.042,0.6741,30,2.26,4,0.1496,1839.9
P0018,2025-03,1,1,50,12,7.43,0.042,0.6741,33,2.16,12,0.2305,1969.38
P0018,2025-04,1,1,50,12,7.43,0.042,0.6741,37,2.33,9,0.2291,1967.14
P0018,2025-05,1,1,50,12,7.43,0.042,0.6741,33,2.47,9,0.2808,2049.88
P0018,2025-06,1,1,50,12,7.43,0.042,0.6741,36,2.14,10,0.2251,1960.74
P0018,2025-07,1,1,50,12,7.43,0.042,0.6741,31,2.58,12,0.2875,2060.61
P0018,2025-08,1,1,50,12,7.43,0.042,0.6741,33,1.86,9,0.2464,1994.83
P0018,2025-09,1,1,50,12,7.43,0.042,0.6741,32,2.38,14,0.3009,2082.05
P0018,2025-10,1,1,50,12,7.43,0.042,0.6741,36,2.63,10,0.2825,2052.6
P0018,2025-11,1,1,50,12,7.43,0.042,0.6741,36,2.44,12,0.2728,2037.08
P0018,2025-12,1,1,50,12,7.43,0.042,0.6741,35,2.28,12,0.2614,2018.83
P0020,2024-01,1,0,7,7,4.08,0.099,0.5502,6,0.33,4,0.0697,2952.92
P0020,2024-02,1,0,7,7,4.08,0.099,0.5502,3,0.39,0,0.0191,2813.24
P0020,2024-03,1,0,7,7,4.08,0.099,0.5502,4,0.3,5,0.0065,2778.45
P0020,2024-04,1,0,7,7,4.08,0.099,0.5502,3,0.21,0,0.0336,2853.26
P0020,2024-05,1,0,7,7,4.08,0.099,0.5502,1,0.4,1,0.0339,2854.09
P0020,2024-06,1,0,7,7,4.08,0.099,0.5502,5,0.54,1,0.0179,2809.92
P0020,2024-07,1,0,7,7,4.08,0.099,0.5502,7,0.43,1,0.0319,2848.57
P0020,2024-08,1,0,7,7,4.08,0.099,0.5502,5,0.08,1,0.0585,2922.0
P0020,2024-09,1,0,7,7,4.08,0.099,0.5502,5,0.05,3,0.018,2810.2
P0020,2024-10,1,0,7,7,4.08,0.099,0.5502,6,0.27,2,0.0726,2960.92
P0020,2024-11,1,0,7,7,4.08,0.099,0.5502,6,0.13,0,0.0329,2851.33
P0020,2024-12,1,1,7,7,4.08,0.099,0.5502,8,0.54,5,0.1415,3151.12
P0020,2025-01,1,1,7,7,4.08,0.099,0.5502,7,0.05,3,0.0391,2868.45
P0020,2025-02,1,1,7,7,4.08,0.099,0.5502,7,0.07,5,0.1249,3105.3
P0020,2025-03,1,1,7,7,4.08,0.099,0.5502,8,0.39,6,0.0829,2989.36
P0020,2025-04,1,1,7,7,4.08,0.099,0.5502,8,0.25,7,0.1266,3109.99
P0020,2025-05,1,1,7,7,4.08,0.099,0.5502,6,0.24,8,0.1373,3139.53
P0020,2025-06,1,1,7,7,4.08,0.099,0.5502,8,0.29,5,0.1503,3175.41
P0020,2025-07,1,1,7,7,4.08,0.099,0.5502,11,0.28,8,0.0679,2947.95
P0020,2025-08,1,1,7,7,4.08,0.099,0.5502,8,0.06,5,0.1279,3113.58
P0020,2025-09,1,1,7,7,4.08,0.099,0.5502,7,0.22,7,0.0704,2954.85
P0020,2025-10,1,1,7,7,4.08,0.099,0.5502,9,0.74,8,0.1786,3253.54
P0020,2025-11,1,1,7,7,4.08,0.099,0.5502,11,0.22,6,0.0713,2957.33
P0020,2025-12,1,1,7,7,4.08,0.099,0.5502,9,0.26,7,0.0932,3017.79
P0023,2024-01,0,0,3,1,8.24,0.174,0.4884,18,2.0,4,0.0686,1525.66
P0023,2024-02,0,0,3,1,8.24,0.174,0.4884,13,1.85,5,0.1069,1580.34
P0023,2024-03,0,0,3,1,8.24,0.174,0.4884,14,1.81,6,0.093,1560.5
P0023,2024-04,0,0,3,1,8.24,0.174,0.4884,13,1.69,1,0.1363,1622.32
P0023,2024-05,0,0,3,1,8.24,0.174,0.4884,19,1.76,4,0.1149,1591.77
P0023,2024-06,0,0,3,1,8.24,0.174,0.4884,21,1.92,5,0.2042,1719.26
P0023,2024-07,0,0,3,1,8.24,0.174,0.4884,19,2.04,4,0.1396,1627.03
P0023,2024-08,0,0,3,1,8.24,0.174,0.4884,14,1.51,5,0.1383,1625.17
P0023,2024-09,0,0,3,1,8.24,0.174,0.4884,15,1.76,5,0.0932,1560.78
P0023,2024-10,0,0,3,1,8.24,0.174,0.4884,17,2.04,5,0.0929,1560.36
P0023,2024-11,0,0,3,1,8.24,0.174,0.4884,22,2.36,5,0.143,1631.88
P0023,2024-12,0,0,3,1,8.24,0.174,0.4884,19,1.98,3,0.1522,1645.02
P0023,2025-01,0,0,3,1,8.24,0.174,0.4884,19,1.8,2,0.0256,1464.27
P0023,2025-02,0,0,3,1,8.24,0.174,0.4884,18,1.97,4,0.0989,1568.92
P0023,2025-03,0,0,3,1,8.24,0.174,0.4884,18,1.69,5,0.163,1660.44
P0023,2025-04,0,0,3,1,8.24,0.174,0.4884,18,1.91,3,0.0868,1551.65
P0023,2025-05,0,0,3,1,8.24,0.174,0.4884,21,2.0,6,0.1442,1633.6
P0023,2025-06,0,0,3,1,8.24,0.174,0.4884,19,1.78,6,0.1367,1622.89
P0023,2025-07,0,0,3,1,8.24,0.174,0.4884,20,1.68,2,0.1318,1615.89
P0023,2025-08,0,0,3,1,8.24,0.174,0.4884,16,1.67,3,0.063,1517.67
P0023,2025-09,0,0,3,1,8.24,0.174,0.4884,19,1.78,5,0.0921,1559.21
P0023,2025-10,0,0,3,1,8.24,0.174,0.4884,19,1.87,6,0.0995,1569.78
P0023,2025-11,0,0,3,1,8.24,0.174,0.4884,25,2.1,6,0.1323,1616.61
P0023,2025-12,0,0,3,1,8.24,0.174,0.4884,21,1.95,5,0.1253,1606.61
P0026,2024-01,1,0,31,5,12.93,0.157,0.6288,17,1.12,3,0.1295,3588.24
P0026,2024-02,1,0,31,5,12.93,0.157,0.6288,26,1.75,3,0.1264,3578.39
P0026,2024-03,1,0,31,5,12.93,0.157,0.6288,22,0.99,2,0.1608,3687.68
P0026,2024-04,1,0,31,5,12.93,0.157,0.6288,19,1.38,5,0.1592,3682.59
P0026,2024-05,1,0,31,5,12.93,0.157,0.6288,21,1.3,1,0.1222,3565.05
P0026,2024-06,1,0,31,5,12.93,0.157,0.6288,25,1.81,6,0.1684,3711.82
P0026,2024-07,1,0,31,5,12.93,0.157,0.6288,24,1.28,4,0.1579,3678.46
P0026,2024-08,1,0,31,5,12.93,0.157,0.6288,23,1.41,5,0.2131,3853.82
P0026,2024-09,1,0,31,5,12.93,0.157,0.6288,23,1.55,4,0.1376,3613.97
P0026,2024-10,1,0,31,5,12.93,0.157,0.6288,20,1.58,4,0.0825,3438.93
P0026,2024-11,1,0,31,5,12.93,0.157,0.6288,20,1.06,4,0.1332,3600.0
P0026,2024-12,1,1,31,5,12.93,0.157,0.6288,26,1.51,5,0.1884,3775.36
P0026,2025-01,1,1,31,5,12.93,0.157,0.6288,24,1.11,7,0.2387,3935.15
P0026,2025-02,1,1,31,5,12.93,0.157,0.6288,19,1.57,7,0.1667,3706.42
P0026,2025-03,1,1,31,5,12.93,0.157,0.6288,24,1.47,8,0.183,3758.2
P0026,2025-04,1,1,31,5,12.93,0.157,0.6288,25,1.38,10,0.1891,3777.58
P0026,2025-05,1,1,31,5,12.93,0.157,0.6288,25,1.39,9,0.2336,3918.95
P0026,2025-06,1,1,31,5,12.93,0.157,0.6288,24,1.52,9,0.1907,3782.66
P0026,2025-07,1,1,31,5,12.93,0.157,0.6288,23,1.38,11,0.1781,3742.64
P0026,2025-08,1,1,31,5,12.93,0.157,0.6288,28,1.07,6,0.2184,3870.66
P0026,2025-09,1,1,31,5,12.93,0.157,0.6288,27,1.38,8,0.2453,3956.12
P0026,2025-10,1,1,31,5,12.93,0.157,0.6288,27,0.91,8,0.2583,3997.42
P0026,2025-11,1,1,31,5,12.93,0.157,0.6288,24,1.18,8,0.2428,3948.18
P0026,2025-12,1,1,31,5,12.93,0.157,0.6288,28,1.26,10,0.1909,3783.3
P0028,2024-01,1,0,24,6,11.05,0.106,0.606,20,0.17,2,0.1205,2229.63
P0028,2024-02,1,0,24,6,11.05,0.106,0.606,21,0.22,3,0.0658,2120.78
P0028,2024-03,1,0,24,6,11.05,0.106,0.606,23,0.05,3,0.1496,2287.53
P0028,2024-04,1,0,24,6,11.05,0.106,0.606,21,0.31,2,0.1079,2204.55
P0028,2024-05,1,0,24,6,11.05,0.106,0.606,24,0.4,2,0.1522,2292.71
P0028,2024-06,1,0,24,6,11.05,0.106,0.606,25,0.38,3,0.1745,2337.08
P0028,2024-07,1,0,24,6,11.05,0.106,0.606,25,0.18,0,0.1125,2213.71
P0028,2024-08,1,0,24,6,11.05,0.106,0.606,21,0.33,3,0.0953,2179.48
P0028,2024-09,1,1,24,6,11.05,0.106,0.606,24,0.42,9,0.2428,2472.99
P0028,2024-10,1,1,24,6,11.05,0.106,0.606,25,0.36,6,0.1908,2369.51
P0028,2024-11,1,1,24,6,11.05,0.106,0.606,26,0.27,6,0.1934,2374.69
P0028,2024-12,1,1,24,6,11.05,0.106,0.606,27,0.26,8,0.1932,2374.29
P0028,2025-01,1,1,24,6,11.05,0.106,0.606,23,0.05,5,0.1783,2344.64
P0028,2025-02,1,1,24,6,11.05,0.106,0.606,24,0.36,6,0.1191,2226.84
P0028,2025-03,1,1,24,6,11.05,0.106,0.606,27,0.12,10,0.1697,2327.53
P0028,2025-04,1,1,24,6,11.05,0.106,0.606,26,0.25,8,0.1888,2365.53
P0028,2025-05,1,1,24,6,11.05,0.106,0.606,29,0.17,7,0.1727,2333.5
P0028,2025-06,1,1,24,6,11.05,0.106,0.606,29,0.3,7,0.2008,2389.41
P0028,2025-07,1,1,24,6,11.05,0.106,0.606,26,0.44,5,0.1737,2335.49
P0028,2025-08,1,1,24,6,11.05,0.106,0.606,28,0.46,7,0.1665,2321.16
P0028,2025-09,1,1,24,6,11.05,0.106,0.606,29,0.26,7,0.2284,2444.33
P0028,2025-10,1,1,24,6,11.05,0.106,0.606,29,0.56,10,0.2313,2450.1
P0028,2025-11,1,1,24,6,11.05,0.106,0.606,24,0.54,10,0.1712,2330.51
P0028,2025-12,1,1,24,6,11.05,0.106,0.606,28,0.05,7,0.2309,2449.31
P0029,2024-01,1,0,52,6,13.39,0.194,0.6747,21,0.75,3,0.132,2469.45
P0029,2024-02,1,0,52,6,13.39,0.194,0.6747,23,1.16,2,0.1579,2525.95
